file,window_idx,start_time,end_time,peak_count,pRR_3.25,RR_Mean,RR_Min,RR_Max,HR_Mean,HR_Min,HR_Max,HR_Std,SDNN,RMSSD,SDSD,NN20,pNN20,NN50,pNN50,NN100,pNN100,VLF,LF,HF,LFHF,SD1,SD2,SD1SD2,CSI,CVI,Area,is_af
134406-131592-2-TBX5H2B-full dose1E14-2w-s_Export.xls,0,0,10,50,20.833333333333336,197.59183673469389,71.0,205.0,311.820519032152,292.6829268292683,845.0704225352113,80.65019271986849,20.95622259153883,23.68807716974934,23.938714600779814,3,6.25,3,6.25,1,2.083333333333333,,,,,16.92722742710082,24.689992804390428,0.6855906180778952,1.4585963892031881,3.8252267752597553,1312.975630081709,False
134406-131592-2-TBX5H2B-full dose1E14-2w-s_Export.xls,1,10,20,67,73.84615384615385,148.56060606060606,71.0,206.0,485.0365770013919,291.2621359223301,845.0704225352113,228.66041246785602,55.42677186727584,74.52144760970599,75.10138980072206,48,73.84615384615385,48,73.84615384615385,12,18.461538461538463,,,,,53.10470200462479,57.6422008367801,0.9212816518750957,1.085444389307752,4.689993513063574,9616.64098789722,False
134406-131592-2-TBX5H2B-full dose1E14-2w-s_Export.xls,2,20,30,74,87.5,135.93150684931507,71.0,210.0,528.2431270508404,285.7142857142857,845.0704225352113,229.90248052965202,54.11287810553543,79.6306578314324,80.18400079059165,63,87.5,63,87.5,14,19.444444444444446,,,,,56.698650701694845,51.61285911606318,1.098537296184176,0.9103013647998568,4.67045062411771,9193.492246884767,True
134406-131592-2-TBX5H2B-full dose1E14-2w-s_Export.xls,3,30,40,68,81.81818181818183,146.38805970149255,71.0,213.0,493.9233603756723,281.6901408450704,845.0704225352113,228.48262014649436,56.72366702465255,80.16384736427278,80.77106846616245,53,80.3030303030303,53,80.3030303030303,14,21.21212121212121,,,,,57.11377023610637,56.68699484551448,1.00752862965756,0.9925276270708865,4.714344247028525,10171.245504805589,True
134406-131592-2-TBX5H2B-full dose1E14-2w-s_Export.xls,4,40,50,67,86.15384615384616,149.75757575757575,72.0,213.0,482.94285572809105,281.6901408450704,833.3333333333334,226.0498709177583,57.4092087510118,85.17186245378313,85.83468289952225,54,83.07692307692308,54,83.07692307692308,16,24.615384615384617,,,,,60.694286339249174,53.7389232772671,1.1294287759748318,0.8854033306676472,4.7175567524658675,10246.761846002271,True
134406-131592-2-TBX5H2B-full dose1E14-2w-s_Export.xls,5,50,60,70,88.23529411764706,142.231884057971,72.0,213.0,505.9929868213761,281.6901408450704,833.3333333333334,225.7460459396575,55.96877935576757,83.80834227744943,84.42490858012268,60,88.23529411764706,60,88.23529411764706,15,22.058823529411764,,,,,59.697425358059085,52.201745931666984,1.1435905886405424,0.8744388157205478,4.6977606124464435,9790.176072372164,True
134406-131592-2-TBX5H2B-full dose1E14-2w-s_Export.xls,6,60,70,69,86.56716417910447,146.6764705882353,50.0,216.0,503.16268587148477,277.77777777777777,1200.0,251.97809302213685,58.767043555489956,84.55264190864378,85.18409308703744,55,82.08955223880598,53,79.1044776119403,16,23.88059701492537,,,,,60.23424987107027,57.62855960332399,1.0452152593381143,0.9567407202160949,4.744601253615131,10905.137444748483,True
134406-131592-2-TBX5H2B-full dose1E14-2w-s_Export.xls,7,70,80,71,92.7536231884058,137.97142857142856,50.0,219.0,592.144156736006,273.972602739726,1200.0,362.09431478404866,64.22017639263086,100.2855343795759,101.01414358272343,62,89.85507246376811,56,81.15942028985508,32,46.3768115942029,,,,,71.4277859230953,56.36434385595224,1.2672512627067922,0.7891094918809113,4.80899162667478,12647.990092001433,True
134406-131592-2-TBX5H2B-full dose1E14-2w-s_Export.xls,8,80,90,79,96.1038961038961,126.44871794871794,50.0,221.0,650.4762472587213,271.49321266968326,1200.0,366.37752081637575,65.41250673453845,105.44814691739106,106.13919174653145,70,90.9090909090909,64,83.11688311688312,39,50.649350649350644,,,,,75.05174223363161,54.050457743004344,1.3885496139641007,0.7201759230951426,4.812280137224928,12744.125137839761,True
134406-131592-2-TBX5H2B-full dose1E14-2w-s_Export.xls,9,90,100,81,93.67088607594937,121.2625,50.0,224.0,698.4656615662865,267.85714285714283,1200.0,394.04562872125837,66.65265029343725,103.90806549998594,104.56084730292197,70,88.60759493670885,58,73.41772151898735,46,58.22784810126582,,,,,73.93568417450726,58.61577147848116,1.2613616149648443,0.7927940632852309,4.840988564069922,13615.025344125686,True
134406-131592-2-TBX5H2B-full dose1E14-2w-s_Export.xls,10,100,110,70,80.88235294117648,144.04347826086956,50.0,225.0,608.2374258692614,266.6666666666667,1200.0,398.3031378565725,73.49318391416602,101.20756191231608,101.95713434181927,54,79.41176470588235,42,61.76470588235294,35,51.470588235294116,,,,,72.09458108344823,75.2374817859825,0.958226928547736,1.0435941322538016,4.938456856490716,17040.67315082403,True
