file,window_idx,start_time,end_time,peak_count,pRR_3.25,RR_Mean,RR_Min,RR_Max,HR_Mean,HR_Min,HR_Max,HR_Std,SDNN,RMSSD,SDSD,NN20,pNN20,NN50,pNN50,NN100,pNN100,VLF,LF,HF,LFHF,SD1,SD2,SD1SD2,CSI,CVI,Area,is_af,note
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a_Export.xls,10,100,110,66,17.1875,151.33846153846153,69.0,191.0,411.4270887487601,314.13612565445027,869.5652173913044,108.20867749694008,21.59808796736771,21.938835429438818,22.11226765739735,7.0,10.9375,4.0,6.25,0.0,0.0,,,,,15.63573440795764,26.500074872610604,0.5900260464591403,1.6948404328947717,3.8214853684393604,1301.713049087921,False,
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a_Export.xls,11,110,120,65,28.57142857142857,153.90625,90.0,192.0,399.6297447509177,312.5,666.6666666666666,77.41956930603702,20.183065941369037,31.974444160377196,32.231267159286375,11.0,17.46031746031746,8.0,12.698412698412698,1.0,1.5873015873015872,,,,,22.790947574566662,13.291726557512094,1.7146717152171542,0.5832020153626639,3.685463763010749,951.6859396972122,False,
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a_Export.xls,12,120,130,66,15.625,151.4,50.0,191.0,418.79702598199805,314.13612565445027,1200.0,154.6835466881536,23.0019020952616,27.33844591413345,27.55419893533931,6.0,9.375,4.0,6.25,2.0,3.125,,,,,19.483760917341574,26.317032232299162,0.7403479520547517,1.3507162371755248,3.914029686798953,1610.8665998894758,False,
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a_Export.xls,13,130,140,65,12.698412698412698,153.828125,57.0,158.0,397.8941335230801,379.746835443038,1052.6315789473683,87.73091223280964,14.304572126776765,15.062831370260005,15.18381991123361,3.0,4.761904761904762,2.0,3.1746031746031744,0.0,0.0,,,,,10.736582023548607,17.32738731761024,0.6196307514080188,1.6138643825014312,3.473719112208776,584.4522060552695,False,
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a_Export.xls,14,140,150,65,4.761904761904762,154.1875,54.0,158.0,397.6326427937505,379.746835443038,1111.111111111111,94.19917509672878,14.481378299744726,15.809380378006848,15.936365392883156,3.0,4.761904761904762,2.0,3.1746031746031744,1.0,1.5873015873015872,,,,,11.268712036774296,17.289950731953052,0.6517492277146238,1.5343324663483329,3.4937880193730195,612.0936998353133,False,
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a_Export.xls,15,150,160,63,0.0,157.19354838709677,153.0,159.0,381.7176779743783,377.35849056603774,392.15686274509807,2.9813031250425404,1.212485723119183,1.5940463000042933,1.6051488193436885,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.1350116149715026,1.1798629169239272,0.9619860059087556,1.0395161612099897,1.3309518399694098,4.207089295396846,False,
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a_Export.xls,16,160,170,65,12.698412698412698,154.59375,70.0,159.0,394.3968654738784,377.35849056603774,857.1428571428571,70.8645726583275,14.012147507708367,14.37480158593226,14.490263694477195,2.0,3.1746031746031744,2.0,3.1746031746031744,0.0,0.0,,,,,10.246163719546058,17.14177650630513,0.5977305628606981,1.6729945934403412,3.4487371021695274,551.7813179891571,False,
134400-132561-2-LKB1H2B-1in10-1E13-4w-s_Export.xls,0,0,10,102,74.0,97.3069306930693,50.0,136.0,712.9843160575924,441.1764705882353,1200.0,276.7659544448156,34.81084387780837,43.30092377767477,43.518925408227496,38.0,38.0,38.0,38.0,0.0,0.0,,,,,30.7725272661092,38.479234200364026,0.7997177674034397,1.2504411440636687,4.277509568104856,3719.9701768797963,False,
134400-132561-2-LKB1H2B-1in10-1E13-4w-s_Export.xls,1,10,20,94,58.69565217391305,106.44086021505376,53.0,136.0,644.8435417226939,441.1764705882353,1132.0754716981132,262.44681277023983,33.6918459899203,41.16905760820651,41.3946374030912,32.0,34.78260869565217,30.0,32.608695652173914,0.0,0.0,,,,,29.270428812484088,37.73506672038334,0.7756824449093419,1.2891873556799076,4.247294189776713,3469.9568945702554,False,
134400-132561-2-LKB1H2B-1in10-1E13-4w-s_Export.xls,2,20,30,95,54.83870967741935,105.77659574468085,53.0,136.0,651.665256516598,441.1764705882353,1132.0754716981132,266.7793368451622,34.297294245865935,40.44364192358313,40.6624349226438,35.0,37.634408602150536,30.0,32.25806451612903,0.0,0.0,,,,,28.75268347335812,38.8175251288577,0.7407139784906795,1.3500487759629651,4.25182620887768,3506.356735036293,False,
134400-132561-2-LKB1H2B-1in10-1E13-4w-s_Export.xls,3,30,40,95,55.91397849462365,104.53191489361703,53.0,135.0,657.9240410834307,444.44444444444446,1132.0754716981132,263.2551699513702,34.1570383898044,37.807947051050704,38.01286967422435,34.0,36.55913978494624,26.0,27.956989247311824,0.0,0.0,,,,,26.879157919004506,40.21442498189661,0.6683959283541847,1.496119227509862,4.237917504691953,3395.8413691437627,False,
134400-132561-2-LKB1H2B-1in10-1E13-4w-s_Export.xls,4,40,50,97,62.10526315789474,102.79166666666667,50.0,135.0,671.6019102720746,444.44444444444446,1200.0,266.11440493650406,34.817090983616126,41.210371714437436,41.42899591020351,34.0,35.78947368421053,32.0,33.68421052631579,0.0,0.0,,,,,29.29472394585465,39.6374852275264,0.7390661586550606,1.3530588409294535,4.269015485692352,3647.9205894906568,False,
