file,window_idx,start_time,end_time,peak_count,pRR_3.25,RR_Mean,RR_Min,RR_Max,HR_Mean,HR_Min,HR_Max,HR_Std,SDNN,RMSSD,SDSD,NN20,pNN20,NN50,pNN50,NN100,pNN100,VLF,LF,HF,LFHF,SD1,SD2,SD1SD2,CSI,CVI,Area,is_af
132392-3-1in10-s-irregualr p RR_Export.xls,0,0,10,68,34.84848484848485,146.56716417910448,139.5,158.0,409.613427967431,379.746835443038,430.10752688172045,10.058574311273112,3.6232577029142883,4.388777009186459,4.422401387553377,0,0.0,0,0.0,0,0.0,,,,,3.1271100102677893,4.095853978539741,0.763481810301907,1.3097888993643025,2.311607607637538,40.2381029707993,False
132392-3-1in10-s-irregualr p RR_Export.xls,1,10,20,67,46.15384615384615,149.1969696969697,51.0,161.5,418.4109416310635,371.5170278637771,1176.4705882352941,124.91129899424152,20.31878229011064,22.059360476119533,22.231025833626855,5,7.6923076923076925,4,6.153846153846154,1,1.5384615384615385,,,,,15.719709119690869,24.320152790037508,0.64636555762636,1.5471121383266262,3.7865307872116314,1201.0488652717695,False
132392-3-1in10-s-irregualr p RR_Export.xls,2,20,30,71,62.31884057971014,140.92857142857142,69.5,170.0,464.07802050038106,352.94117647058823,863.3093525179856,165.98485342612352,33.396529121300865,38.484563063686956,38.76592706810035,24,34.78260869565217,16,23.18840579710145,0,0.0,,,,,27.411649908836893,38.68184405733579,0.7086438244310752,1.4111461435550305,4.229562328968709,3331.134888206645,False
132392-3-1in10-s-irregualr p RR_Export.xls,3,30,40,62,15.0,161.0,50.5,180.0,392.53384127869816,333.3333333333333,1188.118811881188,149.8530789009164,22.31796735069452,27.61370432713921,27.8296675416762,5,8.333333333333332,5,8.333333333333332,2,3.3333333333333335,,,,,19.6785466368864,24.359652201278067,0.8078336453364442,1.2378786223784017,3.8847840863253684,1505.9618714588119,False
132392-3-1in10-s-irregualr p RR_Export.xls,4,40,50,61,18.64406779661017,162.23333333333332,50.5,175.5,390.40964668349426,341.88034188034186,1188.118811881188,152.05457144210368,22.973910528504966,26.95657210516606,27.187800664412983,6,10.16949152542373,4,6.779661016949152,2,3.389830508474576,,,,,19.224678215354537,26.494648401548627,0.7256060893501363,1.3781582247960669,3.911137222488102,1600.1736422808835,False
132392-3-1in10-s-irregualr p RR_Export.xls,5,50,60,63,22.950819672131146,160.92741935483872,50.0,174.0,402.86107368589086,344.82758620689657,1200.0,183.349362747453,27.547402777548225,32.58582614533151,32.856252575930405,9,14.754098360655737,9,14.754098360655737,3,4.918032786885246,,,,,23.232879000818357,31.639210127408976,0.7343065426494881,1.3618290753502618,4.070448646038337,2309.2903251742973,False
132392-3-1in10-s-irregualr p RR_Export.xls,6,60,70,67,36.92307692307693,149.0,50.0,173.5,472.85494669146954,345.821325648415,1200.0,272.2701701999197,40.01932225620711,47.80931676180668,48.14604060524124,21,32.30769230769231,20,30.76923076923077,7,10.76923076923077,,,,,34.04439179924895,43.95767536571619,0.7744811688973233,1.2911869780175054,4.3792002799588445,4701.43211910973,False
132392-3-1in10-s-irregualr p RR_Export.xls,7,70,80,63,21.311475409836063,157.46774193548387,50.5,176.0,432.37557612714124,340.90909090909093,1188.118811881188,232.79541769438035,36.01523709507239,37.03255103372672,37.28803482329963,10,16.39344262295082,10,16.39344262295082,4,6.557377049180328,,,,,26.366622280675298,41.82265609501063,0.6304387320780611,1.5861969595424217,4.246586091093825,3464.303887171827,False
132392-3-1in10-s-irregualr p RR_Export.xls,8,80,90,70,45.588235294117645,144.30434782608697,51.0,180.0,479.70318406731826,333.3333333333333,1176.4705882352941,224.2032107818481,43.539385262698744,50.159854758678925,50.53278204312956,28,41.17647058823529,19,27.941176470588236,10,14.705882352941178,,,,,35.73207285491871,50.419328934901834,0.7086979063337723,1.4110384566721643,4.459775254524903,5659.852907483355,False
132392-3-1in10-s-irregualr p RR_Export.xls,9,90,100,83,87.65432098765432,119.88414634146342,50.0,182.0,592.0649383647893,329.6703296703297,1200.0,244.90155739740337,47.51499430527348,65.57666797509651,65.98524900627226,62,76.5432098765432,38,46.913580246913575,13,16.049382716049383,,,,,46.658617030618,48.37068639650605,0.9646052290460835,1.0366935300453628,4.557634094960489,7090.289777489255,True
