file,window_idx,start_time,end_time,peak_count,pRR_3.25,RR_Mean,RR_Min,RR_Max,HR_Mean,HR_Min,HR_Max,HR_Std,SDNN,RMSSD,SDSD,NN20,pNN20,NN50,pNN50,NN100,pNN100,VLF,LF,HF,LFHF,SD1,SD2,SD1SD2,CSI,CVI,Area,is_af
132393-4-1in10-s-a_Export.xls,0,0,10,67,27.692307692307693,149.21818181818185,50.2,208.0,444.1569199953146,288.46153846153845,1195.219123505976,206.74476104136355,32.350612449753186,35.525496802675725,35.80048345182807,15,23.076923076923077,11,16.923076923076923,3,4.615384615384616,,,,,25.314764618544405,38.37804084669733,0.6596158652200428,1.5160338808200249,4.191576676994528,3052.1548739898953,False
132393-4-1in10-s-a_Export.xls,1,10,20,62,45.0,161.21639344262297,50.6,199.6,421.4743432473103,300.6012024048096,1185.7707509881423,196.57761565596672,42.78377098981913,40.539421143704885,40.88083537019482,21,35.0,14,23.333333333333332,2,3.3333333333333335,,,,,28.90711591083562,53.621802368677756,0.5390925823806552,1.8549689472334394,4.39446615419656,4869.630896491525,False
132393-4-1in10-s-a_Export.xls,2,20,30,61,35.59322033898305,164.63666666666668,50.6,190.6,410.2938344918864,314.79538300104934,1185.7707509881423,190.09309598878843,41.98915907976711,43.507084948062946,43.840526847568285,17,28.8135593220339,12,20.33898305084746,3,5.084745762711865,,,,,30.999933824706428,49.78554934352524,0.6226693133544395,1.6059888909777926,4.392584052987768,4848.57304804167,False
132393-4-1in10-s-a_Export.xls,3,30,40,56,18.51851851851852,178.9018181818182,62.6,194.0,356.95935264392716,309.2783505154639,958.4664536741213,127.64301814363378,31.55852582407094,34.533462033222214,34.857687713506685,8,14.814814814814813,7,12.962962962962962,3,5.555555555555555,,,,,24.64810735870358,37.62266775868271,0.6551398087131977,1.526391751348715,4.1713531469879825,2913.285431233551,False
132393-4-1in10-s-a_Export.xls,4,40,50,54,28.846153846153843,182.72075471698113,71.0,195.20000000000002,341.5096414513279,307.37704918032784,845.0704225352113,96.25065350870659,25.895985421642294,27.348210460368616,27.61500127876047,5,9.615384615384617,4,7.6923076923076925,1,1.9230769230769231,,,,,19.52675466668671,31.373182676481605,0.622402733826703,1.606676747468195,3.9913086307624606,1924.5913112578598,False
132393-4-1in10-s-a_Export.xls,5,50,60,55,20.754716981132077,183.3888888888889,73.2,194.39999999999998,341.07941564550305,308.64197530864203,819.672131147541,101.75880052749572,26.040908794003524,27.90900307840086,28.176006529967623,6,11.320754716981133,4,7.547169811320755,2,3.7735849056603774,,,,,19.923445284096548,31.362740551810425,0.6352584287455217,1.574162505761242,3.999898429466085,1963.0362500978786,False
132393-4-1in10-s-a_Export.xls,6,60,70,54,13.461538461538462,183.94339622641513,68.6,190.8,334.1635544637127,314.4654088050314,874.6355685131196,80.44967715546053,19.014058659459586,19.99147895402516,20.186357638038604,3,5.769230769230769,2,3.8461538461538463,1,1.9230769230769231,,,,,14.273910373313953,23.087272779698846,0.6182588350524155,1.617445547567825,3.722035582356195,1035.2982320863075,False
132393-4-1in10-s-a_Export.xls,7,70,80,59,33.33333333333333,171.2034482758621,71.2,194.6,383.2792324351535,308.32476875642345,842.6966292134831,146.53294047070304,39.74298996123318,33.36289566295983,33.62421813385081,12,21.052631578947366,7,12.280701754385964,1,1.7543859649122806,,,,,23.77591265454159,50.450909786104084,0.4712682636516159,2.121933677968283,4.2831261815914115,3768.391986807387,False
132393-4-1in10-s-a_Export.xls,8,80,90,58,21.428571428571427,171.95789473684212,69.4,192.39999999999998,377.32112930039557,311.85031185031187,864.5533141210374,137.02271814542001,36.86408892990004,30.78828626975804,31.066905597059765,9,16.071428571428573,6,10.714285714285714,1,1.7857142857142856,,,,,21.967619618163265,47.68636141429816,0.4606688152889046,2.1707568795879064,4.224297168527237,3290.9937579466387,False
132393-4-1in10-s-a_Export.xls,9,90,100,59,45.614035087719294,167.61724137931037,70.2,215.2,397.76046548709456,278.8104089219331,854.7008547008546,163.0480208353332,42.60986269954466,37.808288332939206,38.14417872922837,18,31.57894736842105,8,14.035087719298245,2,3.508771929824561,,,,,26.97200744222905,54.365294080886315,0.4961254767076085,2.015619126508494,4.370354995117822,4606.646479405852,False
